userid,key,condition,agent1,agent2,correct,worseAgent,betterAgent,compType
1ec2a554,correct,max,400,2000,1,400,2000,2
1ec2a554,correct,random,200,2000,1,200,2000,3
1ec2a554,correct,first,200,2000,0,200,2000,3
ebb29e26,correct,max,200,400,1,200,400,1
ebb29e26,correct,random,400,200,1,200,400,1
ebb29e26,correct,max,400,2000,1,400,2000,2
ebb29e26,correct,random,400,2000,1,400,2000,2
ebb29e26,correct,first,2000,400,1,400,2000,2
ebb29e26,correct,max,200,2000,1,200,2000,3
ebb29e26,correct,random,2000,200,1,200,2000,3
ebb29e26,correct,first,200,2000,0,200,2000,3
ebb29e26,correct,first,400,200,1,200,400,1
d7e960ad,correct,max,200,2000,1,200,2000,3
d7e960ad,correct,random,200,400,1,200,400,1
2fd961e4,correct,max,200,2000,1,200,2000,3
d7e960ad,correct,max,200,400,0,200,400,1
2fd961e4,correct,first,400,2000,0,400,2000,2
d7e960ad,correct,first,200,400,0,200,400,1
2fd961e4,correct,first,200,2000,0,200,2000,3
d7e960ad,correct,max,400,2000,1,400,2000,2
2fd961e4,correct,random,200,400,1,200,400,1
2fd961e4,correct,random,200,2000,1,200,2000,3
2fd961e4,correct,first,200,400,0,200,400,1
d7e960ad,correct,random,400,2000,0,400,2000,2
2fd961e4,correct,max,200,400,1,200,400,1
77b96386,correct,max,400,2000,1,400,2000,2
47f962d0,correct,random,200,2000,1,200,2000,3
2fd961e4,correct,random,400,2000,0,400,2000,2
d7e960ad,correct,first,200,2000,0,200,2000,3
2fd961e4,correct,max,400,2000,1,400,2000,2
77b96386,correct,max,200,400,1,200,400,1
d7e960ad,correct,random,200,2000,0,200,2000,3
47f962d0,correct,first,200,2000,0,200,2000,3
77b96386,correct,first,200,400,0,200,400,1
47f962d0,correct,first,200,400,1,200,400,1
d7e960ad,correct,first,400,2000,0,400,2000,2
77b96386,correct,random,200,2000,1,200,2000,3
77b96386,correct,random,400,2000,0,400,2000,2
47f962d0,correct,random,400,2000,0,400,2000,2
77b96386,correct,max,200,2000,1,200,2000,3
47f962d0,correct,max,400,2000,0,400,2000,2
77b96386,correct,first,400,2000,0,400,2000,2
1cd9645b,correct,random,200,400,1,200,400,1
47f962d0,correct,max,200,2000,0,200,2000,3
77b96386,correct,first,200,2000,0,200,2000,3
77b96386,correct,random,200,400,0,200,400,1
47f962d0,correct,first,400,2000,0,400,2000,2
47f962d0,correct,max,200,400,0,200,400,1
1cd9645b,correct,max,400,2000,1,400,2000,2
47f962d0,correct,random,200,400,1,200,400,1
7ab96623,correct,first,200,2000,0,200,2000,3
1cd9645b,correct,max,200,400,1,200,400,1
98f9670b,correct,random,200,2000,1,200,2000,3
7ab96623,correct,random,200,400,1,200,400,1
98f9670b,correct,max,200,400,1,200,400,1
1cd9645b,correct,random,200,2000,1,200,2000,3
7ab96623,correct,first,400,2000,0,400,2000,2
7ab96623,correct,max,200,2000,1,200,2000,3
98f9670b,correct,first,200,2000,0,200,2000,3
98f9670b,correct,random,200,400,1,200,400,1
7ab96623,correct,max,400,2000,1,400,2000,2
b7a96597,correct,random,400,2000,0,400,2000,2
7ab96623,correct,max,200,400,1,200,400,1
98f9670b,correct,first,400,2000,0,400,2000,2
1cd9645b,correct,first,400,2000,1,400,2000,2
7ab96623,correct,first,200,400,0,200,400,1
98f9670b,correct,max,200,2000,1,200,2000,3
b7a96597,correct,max,200,400,1,200,400,1
7ab96623,correct,random,400,2000,1,400,2000,2
98f9670b,correct,max,400,2000,1,400,2000,2
e5f96958,correct,first,200,400,0,200,400,1
7ab96623,correct,random,200,2000,0,200,2000,3
1cd9645b,correct,random,400,2000,0,400,2000,2
e5f96958,correct,random,200,2000,0,200,2000,3
1bc969c5,correct,random,200,2000,0,200,2000,3
98f9670b,correct,first,200,400,1,200,400,1
e5f96958,correct,first,400,2000,0,400,2000,2
8bc969c1,correct,random,200,400,1,200,400,1
1bc969c5,correct,max,200,400,1,200,400,1
e5f96958,correct,max,400,2000,1,400,2000,2
1cd9645b,correct,first,200,2000,0,200,2000,3
e5f96958,correct,random,400,2000,0,400,2000,2
17a96a1b,correct,max,200,400,1,200,400,1
98f9670b,correct,random,400,2000,0,400,2000,2
8bc969c1,correct,random,400,2000,0,400,2000,2
b7a96597,correct,first,200,400,0,200,400,1
e5f96958,correct,max,200,2000,1,200,2000,3
17a96a1b,correct,random,200,2000,1,200,2000,3
e5f96958,correct,random,200,400,1,200,400,1
8bc969c1,correct,max,200,2000,1,200,2000,3
17a96a1b,correct,max,400,2000,1,400,2000,2
1cd9645b,correct,first,200,400,0,200,400,1
b7a96597,correct,max,400,2000,1,400,2000,2
e5f96958,correct,max,200,400,0,200,400,1
8bc969c1,correct,max,200,400,1,200,400,1
e5f96958,correct,first,200,2000,0,200,2000,3
1bc969c5,correct,first,200,2000,0,200,2000,3
17a96a1b,correct,random,200,400,1,200,400,1
8bc969c1,correct,max,400,2000,1,400,2000,2
1bc969c5,correct,first,200,400,1,200,400,1
17a96a1b,correct,random,400,2000,1,400,2000,2
1bc969c5,correct,random,400,2000,0,400,2000,2
b7a96597,correct,first,200,2000,0,200,2000,3
8bc969c1,correct,random,200,2000,1,200,2000,3
17a96a1b,correct,first,200,2000,1,200,2000,3
1cd9645b,correct,max,200,2000,1,200,2000,3
17a96a1b,correct,first,400,2000,0,400,2000,2
20e96be4,correct,max,200,400,0,200,400,1
8bc969c1,correct,first,400,2000,0,400,2000,2
20e96be4,correct,first,400,2000,1,400,2000,2
1bc969c5,correct,max,200,2000,0,200,2000,3
20e96be4,correct,max,400,2000,1,400,2000,2
17a96a1b,correct,max,200,2000,1,200,2000,3
b7a96597,correct,max,200,2000,1,200,2000,3
1bc969c5,correct,max,400,2000,0,400,2000,2
20e96be4,correct,random,200,400,1,200,400,1
8bc969c1,correct,first,200,2000,0,200,2000,3
20e96be4,correct,first,200,2000,0,200,2000,3
1bc969c5,correct,random,200,400,1,200,400,1
17a96a1b,correct,first,200,400,1,200,400,1
20e96be4,correct,random,400,2000,1,400,2000,2
1bc969c5,correct,first,400,2000,0,400,2000,2
20e96be4,correct,random,200,2000,1,200,2000,3
8bc969c1,correct,first,200,400,1,200,400,1
20e96be4,correct,first,200,400,1,200,400,1
20e96be4,correct,max,200,2000,1,200,2000,3
b7a96597,correct,first,400,2000,0,400,2000,2
b7a96597,correct,random,200,400,1,200,400,1
b7a96597,correct,random,200,2000,1,200,2000,3
49e96e1f,correct,max,400,2000,1,400,2000,2
49e96e1f,correct,random,200,400,0,200,400,1
49e96e1f,correct,random,200,2000,1,200,2000,3
49e96e1f,correct,first,200,400,1,200,400,1
49e96e1f,correct,max,200,2000,1,200,2000,3
49e96e1f,correct,max,200,400,1,200,400,1
a9e968c1,correct,max,400,2000,0,400,2000,2
49e96e1f,correct,first,200,2000,1,200,2000,3
a9e968c1,correct,max,200,400,1,200,400,1
49e96e1f,correct,first,400,2000,0,400,2000,2
a9e968c1,correct,random,400,2000,0,400,2000,2
49e96e1f,correct,random,400,2000,0,400,2000,2
a9e968c1,correct,random,200,400,1,200,400,1
a9e968c1,correct,first,200,400,0,200,400,1
a9e968c1,correct,random,200,2000,1,200,2000,3
a9e968c1,correct,first,200,2000,0,200,2000,3
a9e968c1,correct,first,400,2000,1,400,2000,2
a9e968c1,correct,max,200,2000,0,200,2000,3
51d94ae2,correct,random,200,400,1,200,400,1
f3a94ab5,correct,first,400,2000,1,400,2000,2
51d94ae2,correct,first,400,2000,1,400,2000,2
f3a94ab5,correct,first,200,400,0,200,400,1
51d94ae2,correct,random,200,2000,1,200,2000,3
f3a94ab5,correct,first,200,2000,0,200,2000,3
51d94ae2,correct,max,200,2000,1,200,2000,3
f3a94ab5,correct,max,200,2000,1,200,2000,3
51d94ae2,correct,first,200,400,1,200,400,1
51d94ae2,correct,first,200,2000,0,200,2000,3
f3a94ab5,correct,random,200,400,1,200,400,1
51d94ae2,correct,max,200,400,1,200,400,1
f3a94ab5,correct,random,200,2000,1,200,2000,3
51d94ae2,correct,random,400,2000,1,400,2000,2
f3a94ab5,correct,max,400,2000,1,400,2000,2
51d94ae2,correct,max,400,2000,1,400,2000,2
f3a94ab5,correct,random,400,2000,1,400,2000,2
f3a94ab5,correct,max,200,400,1,200,400,1
52f94b1f,correct,max,200,2000,0,200,2000,3
52f94b1f,correct,random,400,2000,1,400,2000,2
52f94b1f,correct,random,200,2000,0,200,2000,3
52f94b1f,correct,random,200,400,1,200,400,1
52f94b1f,correct,max,200,400,0,200,400,1
a5f94f40,correct,first,200,2000,0,200,2000,3
52f94b1f,correct,first,400,2000,0,400,2000,2
a5f94f40,correct,first,400,2000,0,400,2000,2
52f94b1f,correct,max,400,2000,0,400,2000,2
a5f94f40,correct,random,200,400,1,200,400,1
52f94b1f,correct,first,200,400,0,200,400,1
a5f94f40,correct,max,200,2000,1,200,2000,3
52f94b1f,correct,first,200,2000,0,200,2000,3
a5f94f40,correct,random,200,2000,1,200,2000,3
a5f94f40,correct,random,400,2000,0,400,2000,2
a5f94f40,correct,first,200,400,0,200,400,1
a5f94f40,correct,max,200,400,1,200,400,1
a5f94f40,correct,max,400,2000,1,400,2000,2
b5c95173,correct,random,200,400,1,200,400,1
b5c95173,correct,max,200,2000,1,200,2000,3
b5c95173,correct,first,400,2000,0,400,2000,2
b5c95173,correct,max,400,2000,1,400,2000,2
b5c95173,correct,random,400,2000,0,400,2000,2
b5c95173,correct,random,200,2000,1,200,2000,3
b5c95173,correct,max,200,400,1,200,400,1
b5c95173,correct,first,200,400,0,200,400,1
b5c95173,correct,first,200,2000,0,200,2000,3
